Category,Situation (English),Situation (Korean),English Question,Korean Question,English Answer,Korean Answer
College,"You are asking a classmate about the upcoming exam schedule.","당신은 동급생에게 다가오는 시험 일정을 묻고 있습니다.","When is the next exam?","다음 시험은 언제인가요?","The exam is next Thursday at 10 AM.","시험은 다음 주 목요일 오전 10시에 있습니다."
College,"You are asking about how your grade will be calculated.","당신은 성적이 어떻게 산출되는지 묻고 있습니다.","How will my grade be calculated?","제 성적은 어떻게 산출되나요?","Your grade is based on exams, assignments, and class participation.","성적은 시험, 과제, 그리고 수업 참여도를 기준으로 산출됩니다."
College,"You are inquiring about a group project in your course.","당신은 수업 중 그룹 프로젝트에 대해 묻고 있습니다.","Is there a group project for this course?","이 수업에 그룹 프로젝트가 있나요?","Yes, the group project is worth 30% of your grade.","네, 그룹 프로젝트는 성적의 30%를 차지합니다."
College,"You are asking about the deadline for an assignment.","당신은 과제 제출 기한에 대해 묻고 있습니다.","When is the deadline for the assignment?","과제 제출 마감일은 언제인가요?","The deadline is next Monday by midnight.","마감일은 다음 주 월요일 자정까지입니다."
College,"You are asking a club president how to join their student club.","당신은 동아리 회장에게 동아리 가입 방법을 묻고 있습니다.","How can I join this student club?","이 동아리에 어떻게 가입할 수 있나요?","You can sign up at our booth during the club fair.","동아리 박람회에서 부스에 와서 가입할 수 있습니다."
College,"You are asking about the requirements to graduate.","당신은 졸업 요건에 대해 묻고 있습니다.","What are the requirements to graduate?","졸업 요건은 무엇인가요?","You need to complete 120 credits and pass all required courses.","120학점을 이수하고 필수 과목을 모두 통과해야 합니다."
College,"You are asking your professor about office hours for extra help.","당신은 교수님께 추가 도움을 받기 위한 면담 시간을 묻고 있습니다.","When are your office hours?","면담 시간은 언제인가요?","My office hours are on Wednesdays from 2 to 4 PM.","면담 시간은 매주 수요일 오후 2시부터 4시까지입니다."
College,"You are asking about registering for courses next semester.","당신은 다음 학기 수강 신청에 대해 묻고 있습니다.","When can I register for next semester’s courses?","다음 학기 수강 신청은 언제 할 수 있나요?","Course registration opens in two weeks.","수강 신청은 2주 후에 시작됩니다."
College,"You are asking a friend for study tips before a major exam.","당신은 중요한 시험을 앞두고 친구에게 공부 팁을 묻고 있습니다.","Do you have any study tips for the exam?","시험을 위한 공부 팁이 있나요?","I recommend reviewing the lecture notes and practicing past exams.","강의 노트를 복습하고 기출문제를 풀어보는 것을 추천해요."
College,"You are asking about how to calculate your GPA.","당신은 GPA를 어떻게 계산하는지 묻고 있습니다.","How do I calculate my GPA?","GPA는 어떻게 계산하나요?","You calculate your GPA by dividing the total grade points by the number of credits.","총 성적 점수를 학점 수로 나누면 됩니다."
College,"You are asking a professor about the grading curve for the class.","당신은 수업의 성적 분포에 대해 교수님께 묻고 있습니다.","Will there be a grading curve for this class?","이 수업에 성적 분포가 적용되나요?","Yes, grades will be curved based on overall class performance.","네, 성적은 전체 학급 성과를 기준으로 조정됩니다."
College,"You are asking about internship opportunities through your department.","당신은 학과를 통해 인턴십 기회에 대해 묻고 있습니다.","Are there any internship opportunities available through the department?","학과에서 제공하는 인턴십 기회가 있나요?","Yes, we have several partnerships with local companies.","네, 저희는 여러 현지 기업들과 협력 관계를 맺고 있습니다."
College,"You are asking about the club’s upcoming events.","당신은 동아리의 다가오는 행사에 대해 묻고 있습니다.","What events does the club have coming up?","동아리에서 다가오는 행사가 무엇인가요?","We have a charity fundraiser and a sports tournament next month.","다음 달에 자선 기금 모금 행사와 스포츠 토너먼트가 있습니다."
College,"You are asking for advice on choosing elective courses.","당신은 선택 과목을 선택하는 것에 대해 조언을 구하고 있습니다.","Do you have any advice on choosing electives?","선택 과목을 선택하는 데 조언을 해주실 수 있나요?","I recommend choosing courses that complement your major.","전공과 관련 있는 과목을 선택하는 것이 좋습니다."
College,"You are asking about the availability of tutoring services on campus.","당신은 캠퍼스 내 과외 서비스 제공 여부를 묻고 있습니다.","Are there any tutoring services available on campus?","캠퍼스에서 과외 서비스를 제공하나요?","Yes, tutoring is available in the learning center.","네, 학습 센터에서 과외 서비스를 받을 수 있습니다."
College,"You are asking about how to apply for scholarships.","당신은 장학금 신청 방법에 대해 묻고 있습니다.","How do I apply for scholarships?","장학금은 어떻게 신청하나요?","You can apply through the financial aid office or online.","재정 지원 사무소나 온라인으로 신청할 수 있습니다."
College,"You are asking about how to sign up for intramural sports.","당신은 교내 스포츠 대회 참가 방법을 묻고 있습니다.","How can I sign up for intramural sports?","교내 스포츠 대회에 어떻게 참가할 수 있나요?","You can sign up on the university’s sports website.","대학교 스포츠 웹사이트에서 신청할 수 있습니다."
College,"You are asking a professor if extra credit is available in the course.","당신은 수업에서 추가 학점을 받을 수 있는지 교수님께 묻고 있습니다.","Is extra credit available in this course?","이 수업에서 추가 학점을 받을 수 있나요?","Yes, you can earn extra credit by completing an additional project.","네, 추가 프로젝트를 완료하면 추가 학점을 받을 수 있습니다."
College,"You are asking about attending office hours for academic advising.","당신은 학업 상담을 위한 면담 시간에 대해 묻고 있습니다.","Can I attend your office hours for academic advising?","학업 상담을 위해 면담 시간에 참석할 수 있나요?","Yes, feel free to stop by during my office hours next week.","네, 다음 주 면담 시간에 오시면 됩니다."
Fitness,"You are asking your instructor how to improve your balance in a specific pose.","당신은 특정 자세에서 균형을 개선하는 방법을 강사에게 묻고 있습니다.","How can I improve my balance in this pose?","이 자세에서 균형을 어떻게 개선할 수 있나요?","Focus on engaging your core and keep your gaze steady on one point.","코어를 단단히 잡고 하나의 점에 시선을 고정하세요."
Fitness,"You are asking for tips on increasing flexibility in your hamstrings.","당신은 햄스트링 유연성을 증가시키는 팁을 묻고 있습니다.","How can I increase my hamstring flexibility?","햄스트링 유연성을 어떻게 늘릴 수 있나요?","Practice forward bends daily, but don’t force the stretch too much.","매일 전굴을 연습하되, 무리해서 스트레칭하지 마세요."
Fitness,"You are asking for advice on improving your breathing during movement.","당신은 동작 중 호흡을 개선하는 방법에 대해 조언을 구하고 있습니다.","How can I improve my breathing during movement?","동작 중 호흡을 어떻게 개선할 수 있나요?","Try to synchronize your breath with your movements, inhaling during expansion and exhaling during contraction.","동작과 호흡을 동기화하고, 확장할 때 들이쉬고 수축할 때 내쉬세요."
Fitness,"You are asking how to build strength for holding poses longer.","당신은 자세를 오래 유지하기 위해 힘을 기르는 방법을 묻고 있습니다.","How can I build strength to hold poses longer?","자세를 더 오래 유지하기 위해 어떻게 힘을 기를 수 있나요?","Focus on engaging the muscles and holding poses for a few extra breaths each time.","근육을 사용하여 자세를 유지하고 매번 몇 번 더 호흡하세요."
Fitness,"You are asking how to improve your alignment in yoga poses.","당신은 요가 자세에서 정렬을 개선하는 방법을 묻고 있습니다.","How can I improve my alignment in this pose?","이 자세에서 정렬을 어떻게 개선할 수 있나요?","Pay attention to the position of your hips and shoulders, and use a mirror to check your form.","엉덩이와 어깨의 위치에 신경 쓰고, 거울을 사용하여 자세를 확인하세요."
Fitness,"You are asking how to prevent injury during stretching.","당신은 스트레칭 중 부상을 예방하는 방법을 묻고 있습니다.","How can I prevent injury while stretching?","스트레칭 중 부상을 어떻게 예방할 수 있나요?","Always warm up before stretching and avoid bouncing or pushing beyond your limit.","스트레칭 전에 반드시 워밍업을 하고, 반동을 주거나 한계를 넘지 않도록 하세요."
Fitness,"You are asking how to transition smoothly between poses.","당신은 자세 사이를 부드럽게 전환하는 방법을 묻고 있습니다.","How can I transition more smoothly between poses?","자세 사이를 더 부드럽게 전환하려면 어떻게 해야 하나요?","Focus on your breath and move with control, keeping movements slow and deliberate.","호흡에 집중하고 천천히, 의도적으로 동작을 이어가세요."
Fitness,"You are asking for guidance on how to deepen a pose.","당신은 자세를 더 깊게 만드는 방법에 대해 조언을 구하고 있습니다.","How can I deepen this pose?","이 자세를 더 깊게 하려면 어떻게 해야 하나요?","Relax into the stretch with each exhale, and gradually increase the depth over time.","숨을 내쉴 때마다 이완하고, 점차적으로 깊이를 더해보세요."
Fitness,"You are asking how to improve strength and stability in your core.","당신은 코어의 힘과 안정성을 개선하는 방법을 묻고 있습니다.","How can I strengthen my core for better stability?","더 나은 안정성을 위해 코어를 어떻게 강화할 수 있나요?","Incorporate planks and other core exercises into your routine regularly.","플랭크 등 코어 운동을 정기적으로 루틴에 추가하세요."
Fitness,"You are asking how to recover after an intense workout or practice.","당신은 강도 높은 운동 후 회복 방법에 대해 묻고 있습니다.","What’s the best way to recover after a workout?","운동 후 회복을 위한 가장 좋은 방법은 무엇인가요?","Focus on hydration, gentle stretching, and resting your muscles.","수분을 보충하고, 부드럽게 스트레칭하며 근육을 쉬게 해주세요."
